Sentiment,Phrase
POSITIVE,muy interesante la clase del profesor y motivante.
NEGATIVE,falta mucho a las clases o llega tarde muy seguido.
POSITIVE,Es una gran maestra y de verdad admiro todo el material que trae preparado para nosotros.
NEGATIVE,Nos carga de mucho contenido y eso es aburrido.
POSITIVE,Profesor accesible y inspira confianza para comentarle acerca de dudas o sugerencias con respecto a la materia.
NEGATIVE,"en ocasiones no entiendo los temas con su forma de explicar, y es algo monótoma clase."
POSITIVE,La maestra da su mejor esfuerzo y eso me parece perfecto.
NEGATIVE,Le hace falta clases mas interesantes o llamativas ya que a la hora de explicar es muy aburrido.
POSITIVE,"Me gusta su nivel de exigencia, ya que nos hace mas responsables y competentes."
POSITIVE,Es una persona que tiene un conocimiento asombroso acerca de la materia y sabe de lo que habla.
NEGATIVE,La clase es muy inapetente y no nunca nos queda muy claro en su totalidad el tema visto en clase.
POSITIVE,"Es muy buena profesora, tiene muchos conocimientos y los sabe transmitir muy bien"
NEGATIVE,La maestra debería mejorar su carácter y no ser tan corajuda.
NEGATIVE,La maestra no es muy accesible y es un tanto prepotente.
POSITIVE,"La maestra siempre da su clase muy motivada, admiro la gran energía que siempre lleva."
POSITIVE,La maestra es muy activa y siempre muestra disposición a realizar todas las actividades.
POSITIVE,"Es una persona muy agradable, es una maestra que siempre está sonriendo y eso lo contagia."
POSITIVE,"es una persona capacitada y muy preparada, no tengo nada que reprocharle."
NEGATIVE,La clase va muy rápido y se dificulta el aprendizaje.
POSITIVE,es muy buena persona y tiene toda la disponibilidad para atendernos
POSITIVE,sus clases me parecen divertidas y muy didácticas.
POSITIVE,"Es una materia ligera y muy interesante, no es nada aburrida, de hecho es divertida."
POSITIVE,La verdad la maestra hace que la materia sea muy bonita.
POSITIVE,Es muy buena para dar a entender las cosas fácilmente.
POSITIVE,"Desde mi punto de vista, la maestra ha mostrado un rendimiento excelente en sus sesiones de clase."
POSITIVE,sus clases me parecen entretenidas e interesantes.
POSITIVE,"Su clase es dinámica, divertida y la docente muestra su dedicación y desempeño por la materia y nuestro aprendizaje."
POSITIVE,En lo particular he aprendido todo lo que nos ha impartido la maestra de una manera sorprendente.
POSITIVE,"La maestra me parece una persona maravillosa, muy entusiasta y se nota que le gusta su clase."
POSITIVE,Muy buena maestra y siempre es muy sonriente
POSITIVE,Me agrada su sistema de trabajo
NEGATIVE,No quisiera tener otro curso con el nunca mas.
POSITIVE,Esta preparado para atender dudas siempre y eso es fascinante.
NEGATIVE,"No es buen profesor, no sabe mucho del tema y es bastante déspota."
NEGATIVE,ha perdido autoridad ante el grupo y eso no lo favorece.
POSITIVE,El profesor estimula la auto superación y fomenta en el alumno el interes continuo en la clase.
POSITIVE,"Buen maestro, muy tranquilo y centrado en su clase"
POSITIVE,tiene una manera muy peculiar de enseñar los temas y eso me encanta.
POSITIVE,"el maestro es muy bueno explicando, verifica dudas y participamos mucho."
POSITIVE,excelente profesor no tengo nada que decir en su contra.
POSITIVE,Profesor muy activo y muy amable si tomaría una clase nuevamente con el
NEGATIVE,La actitud del profesor hacía mi no es adecuada ni muy placentera me falta al respeto.
POSITIVE,La clase es impecable nos fomenta seguridad y ayuda a fortalecernos como estudiantes.
NEGATIVE,el profesor es irrespetuoso con algunos compañeros de clase.
POSITIVE,En mi opinión me ha impulsado mucho conocimientos que faltaban reafirmar.
NEGATIVE,la forma de dirigirse a los alumnos es pésima y en ocasiones intrasigente.
POSITIVE,"Excelente profesor, promueve muchas aptitudes en los alumnos."
NEGATIVE,Le falta trabajar mas el manejo de su voz.
NEGATIVE,le falta control del grupo método para impartir clases y pulir detalles con respecto a su clase.
POSITIVE,En realidad éste profesor a hecho remarcable mi experiencia universitaria.
POSITIVE,es una maestra muy capaz que permite tomar interés en sus clases.
NEGATIVE,Debería de tomar un curso de como ser docente para que dejará de ser un mediocre.
POSITIVE,Es un profesor con experiencia en el campo y aporta siempre una retroalimentación a los trabajos.
POSITIVE,Excelente maestra que propicia la participación de los alumnos con las dinámicas en clase.
NEGATIVE,"NO ME GUSTA NADA SU CLASE, ES UNA PERSONA MUY GROSERA, ADEMAS NO RESUELVE LAS DUDAS."
NEGATIVE,DEBERÍA DE TENER MAS AUTORIDAD FRENTE AL GRUPO.
NEGATIVE,un poco mas de motivación al impartir la materia.
NEGATIVE,se desespera muy rápido y hace un ambiente un poco tenso .
POSITIVE,"Es una materia fácil de aprender, y adémas fácil de comprender con la utilización de diferentes herramientas."
POSITIVE,"Es un profesor excelente, explica muy bien los contenidos de los temas y los objetivos que se desean alcanzar."
NEGATIVE,NO ENTREGA LAS RÚBRICAS Y TAMPOCO MENCIONA LA FORMA DE EVALUAR DE LAS UNIDADES.
NEGATIVE,El profesor es poco claro a la hora de dar sus clases eso es malo para el aprendizaje.
POSITIVE,DEBE MEJORAR LA FORMA DE EXPLICAR DUDAS PARA QUE LOS ALUMNOS PUEDAN COMPRENDER
POSITIVE,Muy buen maestro sabe explicar y nos tiene la paciencia de explicarnos de nuevo si no le entendimos alguna cosa.
POSITIVE,Es un profesor muy bueno ya que sus clases son estrictasy se esfuerza para poder dar lo mejor.
POSITIVE,"Profesor admirable, sobresaliente, respetuoso por su forma de saber, hacer y ser."
NEGATIVE,debería de respetar mas los horarios de salida y dejar de ser muy condescendiente con todos.
POSITIVE,Me gusta su manera de dar las clases y de hacernos independientes.
POSITIVE,"El Profesor respeta diferentes puntos de vista, además de que cuenta con un carisma de positivismo al estar clase."
POSITIVE,"conoce su materia, sabe transmitir sus conocimientos y es muy respetuoso con los alumnos."
POSITIVE,Creo que el trabajo que el profesor desempeña permite un ambiente adecuado para nuestro aprendizaje.
POSITIVE,"Me agrada la forma de trabajar del profesor, ojalá y en un futuro siga siendo mi profesor."
POSITIVE,"Agradable la clase, a la hora de trabajar todos cumplen los objetivos."
POSITIVE,"Es un buen profesor, sabe lo que hace y enseña lo que debe. Hace que las clases sean mas entretenidas."
POSITIVE,La Profesora imparte la materia con un ambiente satisfactorio para el aprendizaje.
NEGATIVE,"Creo que a la maestra le hace falta capacitarse un poco más, ya que sus clases son muy tediosas."
NEGATIVE,NO SE APEGA AL MODELO EDUCATIVO DE LA UNIVERSIDAD Y ESO NOS PERJUDICA.
POSITIVE,La materia impartida de forma objetiva y correcta adémas con un ambiente armónico y placentero.
POSITIVE,Ha sido satisfactorio el contenido de cada una de las clases. Es un profesor respetable.
POSITIVE,"Excelente maestra en realidad es muy paciente, tolerante y se nota que ama su trabajo."
POSITIVE,Lo considero un buen profesor ya que nos ayuda de muy buena manera con las dudas.
NEGATIVE,Me molesta esta materia ya que no se pueden dar a conocer tus propios puntos de vista.
NEGATIVE,Debería de haber un poco más de respeto hacia sus alumnos.
POSITIVE,"Excelente profesor, ya que sus clases se entienden muy bien. y creo que tiene un buen método para dar su clase."
NEGATIVE,Le falta orden cuando plantea las actividades para evitar el desorden.
NEGATIVE,El profesor no fomenta la comunicacíon en clase y esto perjudica en las evaluaciones.
POSITIVE,Le entiendo muy bien a todas sus clases. Más maestros como el por favor.
POSITIVE,El profesor sobrepasa el límite del respeto permitiendo que se pierda el ambiente de cordialidad.
POSITIVE,Es un profesor objetivo y sabe que resultados quiere obtener.
POSITIVE,Su exigencia me gusta.
POSITIVE,Es un muy buen maestro te explica con claridad y hace todo lo posible por entender y aclarar todas las dudas
POSITIVE,"Considero que el maestro, tiene la habilidad y capacidad de impartir su clase de manera efectiva."
POSITIVE,"Me gusta la manera en que el profesor trabaja, esto lo convierte en un excelente profesor."
NEGATIVE,La mayoría de sus clase no entiendo lo que nos explica la maestra ya que lo imparte muy confuso.
NEGATIVE,la maestra se confunde y no es muy congruente al momento de dar una explicacíon
NEGATIVE,En ocasiones la maestra quiere abarcar mucho y nos confunde más.
NEGATIVE,No es una buena profesora y me confunden sus argumentos en la explicación.
NEGATIVE,Debería ser un poco más paciente
NEGATIVE,Si le preguntamos algo literalmente se molesta y nos explica con reproche.
NEGATIVE,Le hace falta más concongruencia en sus temas.
NEGATIVE,No es de mi agrado las clases no explica muy bien y deja tareas solo por dejarlas.
POSITIVE,"tiene mucha paciencia, haciendo que todos participemos, así logrando un mejor dominio del tema."
POSITIVE,La profesora demuestra la preparacion de sus clases. Aporta sus conocimientos de la materia y su forma de enseñanza es la adecuada.
POSITIVE,es de la mejores maestras de ingles que he tenido me gusta que sus clases sean prácticas.
POSITIVE,Las clases son dinámicas y objetivas.
POSITIVE,"muy divertidas sus clases, siempre actividades diferentes para no hacer rutinarias las clases, es una excelente maestra."
POSITIVE,La maestra hace su clase muy didáctica por lo que es fácil aprender
POSITIVE,"Es una excelente maestra, siempre tiene sus clases muy bien preparadas."
POSITIVE,Es una persona muy preparada que siempre muestra su mejor actitud ante el grupo.
POSITIVE,"Tiene mucho conocimientos y sabe como transmitirlos, lleva una relación muy buena con todos lo alumnos."
POSITIVE,Excelente maestra que siempre imparte su clase con seguridad y dinámicas.
POSITIVE,La maestra es muy respetuosa y siempre preparada para su clase.
POSITIVE,"excelente manera de impartir la manera, de una manera sencilla al receptor."
POSITIVE,"Considero que es una maestra muy preparada para la materia, tiene mucho conocimiento y mantiene buena relación con el grupo."
POSITIVE,UNA MAESTRA MUY PREPARADA PARA LA MATERIA QUE ME IMPARTE
POSITIVE,"La maestra sabe mucho sobre el campo que enseña, hace sus clases muy didácticas y se apega a reglamentos de evaluación y enseñanza."
POSITIVE,"Una excelente maestra, sabe como tratarnos y como enseñarnos bien, aparte es una gran persona."
NEGATIVE,Yo siento que a la maestra le falta más seguridad al momento de dar la clase y poner un poco de más orden.
POSITIVE,Es muy flexible al cuestionarle dudas sobre algunos ejercicios de la materia.
NEGATIVE,La maestra no sabe nada sobre su materia y no se le facilita enseñarla ni aclarar dudas.
POSITIVE,"El maestro muestra mucha seguridad, tiene el dominio absoluto sobre su materia, sin duda un excelente maestro."
POSITIVE,"Su forma de trabajar me permite a mi como estudiante ser activa, autónoma y dinámica."
POSITIVE,"Excelente dominio de sus clases, se da a notar, y siempre tiene la atención de todos."
POSITIVE,me parece muy objetiva la clase y que el profesor realmente se interesa en lograr que los alumnos obtengan el conocimiento.
POSITIVE,"La maestra muestra la mejor disposición ante el grupo , permitiéndonos espacio para aportar nuestras ideas."
POSITIVE,"es flexible al explicar al alumno, utiliza diferentes métodos para que al final los alumnos sean competentes en sus evaluaciones."
POSITIVE,"Buena persona, responsable, comprensiva, trabajadora, además imparte una buena clase."
NEGATIVE,LA MAESTRA NOS HA ANIMADO A ESFORZARNOS EN LA CARRERA Y A PERSEVERAR.
POSITIVE,"MUY BUENA PROFESORA, PREPARADA Y RESPETUOSA DURANTE SUS CLASES"
POSITIVE,"Es muy buena maestra y es muy fácil aprender en su clase, sobre todo porque nos da la oportunidad de ser participativos."
NEGATIVE,Falta un poco de práctica como docente
POSITIVE,"Excelente maestra, explica claramente y si elimina dudas apoyandonos a resolverlas."
POSITIVE,"Es muy buena maestra, nos comprende a nosotros como su grupo y entre todos nos ayudamos a resolver los ejercicios"
NEGATIVE,La maestra muestra una actitud de poca preparación ante el grupo y no permite la generación de nuevos conocimientos o actitudes.
NEGATIVE,La maestra no sabe como a explicar ningun tema. Pide demasiados trabajos y no los revisa adecuadamente.
NEGATIVE,Podrían mejorar sus clases. Debería darse una explicación previa de las actividades a desarrollar.
NEGATIVE,"la maestra, necesita un poco de mas vocabulario digerible para que el alumno entienda de manera mas sencilla"
NEGATIVE,se siente cierta tensión en la clase lo que genera conflicto entre todos ya que no existe comunicación.
NEGATIVE,Es difícil trabajar con esta maestra porque no resuelve dudas y hemos tenido con ella problemas por su actitud.
POSITIVE,Siempre muestra la mejor actitud ente el grupo y todas sus actividades siempre nos impulsan a algo nuevo
POSITIVE,El profesor hace un muy buen trabajo al mostrar dinámicas para la integración del grupo.
POSITIVE,"El profesor demuestra ante el grupo que sabe lo que realiza en clase, prepara la clase con anticipacion y es muy respetuoso."
POSITIVE,Excelente profesor que propicia la unión del grupo y la amistad.
POSITIVE,hace sentirnos en confianza y logra romper la barrera de autoridad sin perder el respeto.
POSITIVE,Considero que el docente esta muy capacitado y tiene mucha disposición hacia sus alumnos
POSITIVE,"Su clase es dinamica, entretenida y hace que nosotros los alumnos nos interesemos sobre el tema."
POSITIVE,"Me gusta mucho en general la manera en como desarrolla los temas, sus explicaciones, su entusiasmo y efectividad."
POSITIVE,Desempeño excelente.
NEGATIVE,Necesita poner mas orden y ser mas estricto con los alumnos irrespetuosos
POSITIVE,Me gustan sus clases ya que nos estimula a aprender con y sin el profesor.
POSITIVE,"Me gusta mucho la forma en que da sus clases, la facilidad que tiene para identificar las necesidades del grupo."
POSITIVE,Es un excelente maestro el cual te explica coherentemente las cosas y se me facilita el aprendizaje.
POSITIVE,"me gusta mucho la manera que el profe nos trasmite su aprendizaje , y nos ayuda , es uno de mis mejores profesores"
POSITIVE,Me gusta mucho la forma en cómo da importancia a los puntos claves de los temas expuestos y deja claro el objetivo de la materia.
POSITIVE,Me parece muy eficaz su manera de enseñar y plantear nuestras actividades y evaluaciones formativas.
NEGATIVE,Deberia ser un poco mas paciente
POSITIVE,Responde a tus dudas de una manera burlesca faltandote al respeto usando sarcasmo.
NEGATIVE,"Considero que le falta mayor conocimiento respecto de la materia, así como llevar a la práctica sesiones más didácticas."
POSITIVE,"Es muy buena maestra, explica de manera clara los temas y aclara dudas de manera efectiva."
NEGATIVE,"Le falta conocimiento en cuanto al uso de las herramientas que el nos pide dominar, no acepta retroalimentación."
POSITIVE,"Sus clases son muy dinamicas, entendibles, y tiene una excelente dispocisión y empatia con nosotros."
NEGATIVE,ES UNA MAESTRA QUE SABE MUCHO PERO SE BATALLA A LA HORA DE EXPLICAR EL TEMA.
POSITIVE,"Es dinamico, ameno, involucra actividades donde podemos participar y todos vamos contruyendo el aprendizaje."
NEGATIVE,Debería hablar mas alto y no escribir en cursiva es muy difícil entenderle su letra.
NEGATIVE,me gustaria que fuera no fuera tan aburrida o mas ejemplos entendibles para aterrizar mis ideas.
NEGATIVE,Su forma de calificar no tiene coherencia no explica nada durante la clase y aun así exige trabajos.
NEGATIVE,Es un bipolar y cambia las evaluaciones a su beneficio.
NEGATIVE,"Enfoca las clases a solo cierto grupo de alumnos, siendo elitista y egoísta."
NEGATIVE,"No me parece adecuada la manera en que se dirige sus alumnos, pareciera que tiene favoritismos."
POSITIVE,Muy buen maestro se concreta a su materia impartiendola de una manera en donde todos aprendamos.
POSITIVE,Es un profesor con amplio conocimiento que lo transmite eficientemente.
POSITIVE,El profesor siempre nos pone retos que logramos cumplir satisfactoriamente.
POSITIVE,"Excelente profesor. Explica todo muy bien, resuelve claramente cualquier tipo de duda."
POSITIVE,Excelente persona siempre sonriendo y muy respetuoso
POSITIVE,"LA PROFESORA ES MUY PACIENTE CON NOSOTROS, ES RESPETUOSA Y SU APRENDIZAJE LO APLICA BIEN."
POSITIVE,El profesor hace procesable y entendible su materia para todos sus alumnos.
POSITIVE,Lo que le ayuda muchisimo a la maestra es su organización y que los temas los haga más interesantes. Me encanta su clase.
NEGATIVE,Nada le parece y siempre esta de mal humor.
POSITIVE,Esta materia se ha hecho un curso muy útil para nosotros como administradores.
NEGATIVE,La maestra solo busca el beneficio propio y no el ayudar a sus alumnos.
NEGATIVE,No me gusta que el maestro no escucha nuestras ideas ni resuelve nuestras dudas.
NEGATIVE,Los temas los hace aburridos porque se desvía muchisímo del tema central.
NEGATIVE,"La manera en la que se expresa no es la correcta, y no le gusta aclarar dudas por que le gusta reprobar gente."
NEGATIVE,ME GUSTARÍA QUE FUERA UN POCO MAS FLEXIBLE Y QUE NOS PERMITIERA DAR NUESTRO PUNTO DE VISTA.
NEGATIVE,"Es un maestro grosero, arrogante y no tiene toleracia para sus alumnos."
NEGATIVE,"EL PROFESOR ES MUY GROSERO, NO ACEPTA QUE LE DEMOS NUESTRO PUNTO DE VISTA, NOS CALLA DE MANERA GROSERA."
NEGATIVE,La maestra debería darse a respetar para poder tener autoridad.
NEGATIVE,"No tiene autoridad sobre el grupo, todos hacen lo que quieren y no le ponen la más mínima atención a la maestra."
POSITIVE,Es una buena maestra que trata de ayudarnos y apoyarnos en nuestras inquietudes.
POSITIVE,Es un profesor muy preparado educativamente y todos lo queremos.
NEGATIVE,NOS BRINDA MUY POCO TIEMPO PARA COMPRENDER Y RAZONAR TEMAS QUE SON ALGO COMPLICADOS.
POSITIVE,"ES UN MAESTRO CON MUCHO CONOCIMIENTO, CAPACIDAD Y PACIENCIA."
POSITIVE,EL PROFESOR DEBE SER MAS ESTRICTO Y TOMAR EL LUGAR QUE LE CORRESPONDE ADEMÁS DE SER COMPROMETIDO.
POSITIVE,"Es una persona muy objetiva y directa, muy buena maestra"
POSITIVE,"Una gran maestra con un amplio conocimiento de los temas vistos en clase, mucha exigencia lo cual ayuda a ser mejores estudiantes."
NEGATIVE,No me gusta su clase es muy irrespetuoso y no aclara dudas
NEGATIVE,El profesor debería de dejarnos a nosotros tambien decirle lo que pensamos.
NEGATIVE,Es muy sarcástico y eso es negativo.
NEGATIVE,NO ME GUSTA QUE NO EXPLICA Y QUE FALTE AL RESPETO A LOS ALUMNOS
NEGATIVE,"ES UN MAESTRO QUE TIENE CONOCIMIENTO PERO LE FALTA EDUCACION AL DIRIGIRSE A LOS ALUMNOS,EN OCASIONES ES DESPOTA."
POSITIVE,Es un profesor muy culto y me encanta su comportamiento.
POSITIVE,sus clases son muy interesantes y las horas se pasan muy rápido.
POSITIVE,"Es un excelente maestro, muy culto, dinámico."
POSITIVE,"Un excelente profesor, con un amplio conocimiento, con una cultura impresionante que en realidad tiene mucho que aportarnos."
NEGATIVE,"TIENE UN CONOCIMIENTO MUY AMPLIO, SUS CLASES SON MUY DINAMICAS Y NOS AYUDA MUCHO EN LA CARRERA."
POSITIVE,"BUENA MAESTRA PACIFICA, TOLERANTE Y AGRADABLE."
NEGATIVE,"LA CLASE NO ES MUY LLAMATIVA, EN OCASIONES ES TEDIOSA"
NEGATIVE,LA MAESTRA NO SABE DEL TEMA YA QUE MUCHAS VECES SE CONTRADICE.
NEGATIVE,El avance de los temas de la materia son muy pocos y eso nos perjudica.
NEGATIVE,No conoce temas básicos que debería de conocer como mínimo.
NEGATIVE,El profesor es muy poco tolerante y es muy egocéntrico.
NEGATIVE,"es una clase importante y no se ha impartido de forma correcta, el conocimiento es nulo."
NEGATIVE,El profesor no sabe dar clase y tampoco es congruente con lo que nos pide que hagamos
NEGATIVE,Me parece que la maestra podría dar mejor la clase y no desvíarse del tema que explica.
POSITIVE,"Clases directas, buenos examenes y muy honesta con su forma de calificar."
POSITIVE,Excelente profesor brinda conocimientos actuales independientemente de la materia y de gran utilidad
POSITIVE,"El profesor cuenta con buenos conocimientos, y ejemplos claros de cada tema nuevo"
NEGATIVE,"TIENE MUCHA EXPERIENCIA EXTERIOR, Y ES INTERESANTE CUANDO NO LAS COMPARTE."
NEGATIVE,ESPERO QUE EL PROFESOR NUNCA CAMBIE.
POSITIVE,"Tiene amplios conocimientos, con ejemplos practicos, muy buenas catedras"
NEGATIVE,El profesor podría mejorar un poco su pronunciacion
NEGATIVE,En esta ocasión el profesor actúa de una forma autoritaria y egoista.
NEGATIVE,no me gusta la forma en la que se refiere a nosotros de una manera muy agresiva.
NEGATIVE,Es muy prepotente siempre quiere hacer lo que el dice.
POSITIVE,El profesor sabe muchísimo sobre su materia.
POSITIVE,"El mejor maestro que tenemos este cuatrimestre, se ve la experiencia que tiene."
POSITIVE,"EXELENTE PROFESOR, DEBERIAN CONSIDERAR LA CALIDAD DE ESTE PROFESOR PARA LA CONTRATACION DE NUEVOS"
NEGATIVE,Lo único que no me gusta es que no permite ni salir al baño.
NEGATIVE,"Es muy grosero a la hora de hablar, cuando tratas de hablar su tono de voz se eleva."
NEGATIVE,CREO QUE ES UNA PERSONA PREPOTENTE Y NO ACEPTA LAS OPINIONES DE LOS ALUMNOS
POSITIVE,Es la mejor maestra del mundo.
POSITIVE,la mejor maestra que he tenido en toda la trayectoria de la universidad.
POSITIVE,"Excelente maestra, a pesar de su corta edad, alegra las clases, en lo personal"
POSITIVE,Me gusta mucho la manera en la que te desengloza los temas y va formando una cadena de conocimiento.
POSITIVE,Es uno de los mejores maestros que tiene esta universidad y explica a la perfección los temas.
POSITIVE,Debe dar las clases con mas energía.
POSITIVE,buen trabajo y además el profesor es muy guapo
POSITIVE,Me agrada mucho que esta al pendiente de cada uno de nosotros y de nuestro desarrollo.
NEGATIVE,Deberían de checarlo mas seguido.
NEGATIVE,mucho ojo con el profesor ya que es muy problemático.
POSITIVE,"ME FASCINA LA CLASE, HE MEJORADO BASTANTE EN ESTE MES QUE HE RECIBIDO SUS CLASES."
POSITIVE,"Es un profesor muy cumplido, organizado, respetuoso y ademas hace mas amenas las clases."
POSITIVE,"Excelente materia y profesor, muy util para la vida personal y laboral"
POSITIVE,El maestro tiene muchos puntos de oportunidad como su responsabilidad.
NEGATIVE,Considero que el profesor hace que la enseñanza se torne cotidiana y metódica.
NEGATIVE,"La clase es muy repetitiva y lenta su clase, falta más dinamismo en ella para un mejor aprendizaje"
POSITIVE,Identifico mucho compromiso y gusto por la docencia de parte de este profesor.
NEGATIVE,Al profesor solo le falta un poco de autoridad
POSITIVE,Muy buena maestra capaz de resolver cualquier duda que tengamos orientándonos hacia la mejor opción
POSITIVE,excelente maestra y siempre trata de ejemplificar cada una de sus clases para entender mejor.
POSITIVE,UNA MAESTRA EJEMPLAR Y ANTE TODO COMPRENSIBLE CON CADA UNO DE LOS ALUMNOS .
NEGATIVE,El profesor contesta de manera inadecuada y es muy grosero con sus comentarios.
NEGATIVE,"El profesor realmente no se sabe expresar frente al grupo, y muchas veces las clases son improvisadas."
NEGATIVE,"ES UNA MAESTRA MUY GROCERA, SE DA A LLEVAR DE UNA MANERA MUY INADECUADA."
NEGATIVE,"es muy grosera, se queja mucho de nosotros pero ella es grosera e incluso a dicho groserias."
NEGATIVE,"Pésima para impartir la materia de tecnologías de información, es un fraude."
NEGATIVE,SER UN POCO MAS RESPETUOSA MAESTRA PARA QUE NO LE FALTEN EL RESPETO MIS COMPAÑEROS
POSITIVE,maestra es genial. ella construye mi autoestima. ella saca lo mejor de los alumnos
POSITIVE,"EXCELENTE PROFESOR, SUPERO MIS EXPECTATIVAS."
POSITIVE,El MAESTRO DEMUESTRA COMPROMISO RESPECTO A SU DOCENCIA Y PROFECIONALISMO.
NEGATIVE,El maestro no acepta puntos de vista ni opiniones diferentes a las de el.
POSITIVE,aporta mucho conocimiento y mucha sabiduria
POSITIVE,es un excelente profesor el cual tiene todas las capacidades y ha sido una gran ayuda
POSITIVE,"Es una excelente profesora con buen manejo de su campo, muy dinámica y muestra interés por impartir las clases."
POSITIVE,Excelente y habla pefectamente la materia en ingles.
POSITIVE,muy buen profesor ya que es muy completo en todos los aspectos
POSITIVE,ES BUEN MAESTRO TIENE MUCHOS CONOCIMIENTOS Y APRENDEMOS DE ELLO
POSITIVE,podria decir que es de los mejores profesores que he tenido en todo el transcurso de la carrera.
POSITIVE,"es una excelente maestra, de gran calidad y con un conocimiento muy elevado."
POSITIVE,la verdad es una de la mejores maestras que he tenido en mi estancia en la universidad
POSITIVE,"Muy buena maestra, es muy realiza y congruente con lo que dice."
POSITIVE,Excelente profesor y aplica muy bien lo teórico con lo practico.
NEGATIVE,Es la peor maestra que jamas haya tenido no sabe dar clase es mas nosotros somos los que damos la clase.
NEGATIVE,NO TIENE LOS CONOCIMIENTOS NECESARIOS NI SABE COMO ENSEÑAR NI RETENER LA ATENCIÓN DEL GRUPO.
NEGATIVE,No tiene motivacion por darnos clase
NEGATIVE,me reservo mis pesimos comentarios.
NEGATIVE,"NO PRONUNCIA BIEN, SE VISTE DE MANERA INADECUADA, ES INJUSTA CON LAS TAREAS."
NEGATIVE,pésima maestra y se viste de forma inadecuada y exagerada
NEGATIVE,MUY MALA MAESTRA
NEGATIVE,PESIMA MAESTRA
NEGATIVE,"SE LA PASA EN SU COMPUTADORA Y ESTA TODO EL TIEMPO DE MAL HUMOR, NO TRANSMITE SUS CONOCIMIENTOS, ES GROCERO"
NEGATIVE,ES DEMASIADO FLOJO
NEGATIVE,"No da clase, no nos enseña nada"
NEGATIVE,"Es grosera e inapropiada la forma en la que se dirige a los alumnos, totalmente carece de profesionalismo."
NEGATIVE,NO IMPARTE CLASE. TODO SIN CLASES Y NO EXPLICA.
NEGATIVE,Nosotro hacemos casi todo su trabajo y eso es cansado.
POSITIVE,SON MUY AMENAS SUS CLASES
NEGATIVE,El profesor no se presente a clase de una manera adecuada.
NEGATIVE,MANEJA TACTICAS MUY ANTIGUAS QUE NO SIRVEN EN LA ACTUALIDAD PARA NADA
POSITIVE,"Su gran experiencia en el campo laboral es sin duda, una ventaja para nosotros."
NEGATIVE,Esta siempre enojado.
POSITIVE,ES UN PROFESOR MUY COMPLETO Y MUY PREPARADO.
NEGATIVE,El profesor hace comentarios acerca de la religión y pues algunas personas nos sentimos ofendidos por los comentarios.
POSITIVE,Me encanta su manera de ser. Y me fascina su clase
NEGATIVE,"La verdad el profesor no lleva su clase de forma interesante, no entiendo que nos quiere dar a conocer"
POSITIVE,Debe de tener mas tacto y no ser arrogante.
NEGATIVE,NOS INSPIRA CONFIANZA A LOS ALUMNOS Y SE ESTA CONSIGUIENDO EL PROPOSITO DE LA MATERIA
POSITIVE,"buena profesora,su clase clara y objetiva, algo divertida."
POSITIVE,"buena onda, se desenvuelve bien en la clase."
POSITIVE,"Excelente maestra, hace de la clase un ambiente muy agradable."
NEGATIVE,TIENE UNA MANERA MUY GENIAL DE ENSEÑAR ADEMAS DE QUE IMPARTE SU CLASE CON ALEGRIA.
POSITIVE,muy buena maestra excelente para ser exacto ya que sus clases son muy dinamicas.
POSITIVE,FORMAS PRECISAS DE DAR A ENTENDER LOS TEMAS VISTOS EN CLASE.
POSITIVE,Para la maestra mi total respesto.
NEGATIVE,SOLO LE FALTA SER UN POCO MAS DURA CON LOS ALUMNOS.
POSITIVE,la maestra es muy congruente y profesional con su trabajo y con los alumnos
NEGATIVE,maestra muy déspota en su forma de contestar se queda dormida en clases.
NEGATIVE,"Le hace falta ética y tolerancia, aparte se duerme durante las clases."
NEGATIVE,"En mi opinión la maestra no apoya a los alumnos, es impaciente, no explica bien."
NEGATIVE,UN POCO INCORRECTO DE TRATO PERSONAL HACIA EL ALUMNO A MI PUNTO DE VISTA
NEGATIVE,"la maestra es muy grosera con nosotros los alumnos, siempre llega con una actitud negativa."
NEGATIVE,ESTA MAESTRA ES MUY IRRESPETUOSA NO ACEPTA PREGUNTAS NI SUGERENCIAS.
NEGATIVE,No tienen paciencia con los alumnos
NEGATIVE,NO CONOCE NINGUNO DE LOS TEMAS.
NEGATIVE,EL PROFESOR NOS ENSEÑA MUCHO EN SU CLASE Y NOS APOYA EN LO DEMÁS
POSITIVE,"El profesor se preocupa porque sepamos lo necesario para el mundo laboral, lo cual me parece estupendo."
POSITIVE,el maestro se enfoca totalmente con su materia y la verdad es que sus enseñanzas pueden servir para la vida cotidiana
POSITIVE,ESTE PROFESOR EXPLICA BIEN Y SU CLASE ES INTERACTIVA
NEGATIVE,En ocasiones es algo poco explicativo.
NEGATIVE,debería aprovechar mejor el tiempo de sus clases
NEGATIVE,ESTA MAESTRA SI NOS APOYA ADEMAS DE QUE NOS AYUDA EN TODOS LOS PROBLEMAS
POSITIVE,ES MUY BUENA MAESTRA QUE ME DA LA OPORTUNIDAD DE EXPRESARME Y AYUDARME EN LAS DUDAS
NEGATIVE,LA MAESTRA SABE DE LO QUE HABLA Y NOS AYUDA PERSONALMENTE.
POSITIVE,es buena instructora en todas las ocasiones.
POSITIVE,tiene muy buen conocimiento de los temas en regular el profesor contesta todas nuestras preguntas amablemente
